,Unnamed: 0,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA21_1: Population, 2021",X,Y,Transit Time,Car Time,Car Time Adjusted,Bike Time,Car/Bike Delta,Car/Bus Delta,Bike/Bus Delta
61,61,59170123,DA,59170123,0.1066,499,307,301,499,-123.360078,48.451262,1655822954,1655824647,1655824591,1655824043,9.133333333,27.28333333,-18.15
62,62,59170124,DA,59170124,0.0531,685,447,432,685,-123.362457,48.450407,1655822699,1655824607,1655824545,1655823849,11.6,30.76666667,-19.16666667
63,63,59170125,DA,59170125,0.115,820,454,440,820,-123.365692,48.450286,1655822638,1655824632,1655824563,1655823812,12.51666667,32.08333333,-19.56666667
64,64,59170126,DA,59170126,0.142,583,247,239,583,-123.361969,48.447695,1655822859,1655824724,1655824635,1655823977,10.96666667,29.6,-18.63333333
65,65,59170127,DA,59170127,0.5252,673,331,309,673,-123.362337,48.444912,1655823502,1655824674,1655824612,1655823929,11.38333333,18.5,-7.116666667
66,66,59170128,DA,59170128,0.2309,552,249,238,552,-123.354123,48.446155,1655823594,1655824773,1655824716,1655823956,12.66666667,18.7,-6.033333333
67,67,59170129,DA,59170129,0.1498,534,257,243,534,-123.353836,48.448468,1655823248,1655824778,1655824719,1655824072,10.78333333,24.51666667,-13.73333333
68,68,59170130,DA,59170130,0.1691,778,358,340,778,-123.34706,48.447154,1655823804,1655824818,1655824778,1655824238,9,16.23333333,-7.233333333
69,69,59170131,DA,59170131,0.1605,650,282,274,650,-123.343185,48.446459,1655823958,1655824823,1655824776,1655824336,7.333333333,13.63333333,-6.3
70,70,59170132,DA,59170132,0.1058,517,271,243,517,-123.347581,48.442504,1655824054,1655824784,1655824728,1655824307,7.016666667,11.23333333,-4.216666667
71,71,59170133,DA,59170133,0.087,703,295,278,703,-123.344368,48.442426,1655824102,1655824805,1655824754,1655824353,6.683333333,10.86666667,-4.183333333
72,72,59170134,DA,59170134,0.1186,662,284,271,662,-123.349596,48.43971,1655823770,1655824699,1655824643,1655824267,6.266666667,14.55,-8.283333333
73,73,59170135,DA,59170135,0.1473,500,215,209,500,-123.342272,48.439048,1655823950,1655824787,1655824727,1655824312,6.916666667,12.95,-6.033333333
74,74,59170136,DA,59170136,0.1132,517,239,229,517,-123.346767,48.43668,1655823830,1655824774,1655824705,1655824232,7.883333333,14.58333333,-6.7
75,75,59170137,DA,59170137,0.1183,493,217,202,493,-123.34292,48.436014,1655823692,1655824755,1655824698,1655824256,7.366666667,16.76666667,-9.4
76,76,59170138,DA,59170138,0.1188,476,200,181,476,-123.339382,48.436585,1655823761,1655824748,1655824686,1655824301,6.416666667,15.41666667,-9
77,77,59170139,DA,59170139,0.0989,553,233,228,553,-123.341048,48.432858,1655823646,1655824720,1655824650,1655824100,9.166666667,16.73333333,-7.566666667
78,78,59170140,DA,59170140,0.0964,541,248,233,541,-123.343846,48.431582,1655823344,1655824657,1655824584,1655824040,9.066666667,20.66666667,-11.6
79,79,59170141,DA,59170141,0.0757,615,332,317,615,-123.346778,48.433297,1655823507,1655824700,1655824618,1655824039,9.65,18.51666667,-8.866666667
80,80,59170142,DA,59170142,0.1145,583,322,305,583,-123.350238,48.433214,1655823461,1655824637,1655824568,1655823914,10.9,18.45,-7.55
81,81,59170143,DA,59170143,0.1778,463,234,209,463,-123.349891,48.430011,1655823408,1655824609,1655824532,1655823936,9.933333333,18.73333333,-8.8
82,82,59170144,DA,59170144,0.1527,670,387,368,670,-123.354748,48.4319,1655823458,1655824633,1655824520,1655823862,10.96666667,17.7,-6.733333333
83,83,59170145,DA,59170145,0.0657,417,236,214,417,-123.3553,48.434434,1655823611,1655824664,1655824582,1655823908,11.23333333,16.18333333,-4.95
84,84,59170146,DA,59170146,0.0977,652,358,340,652,-123.356286,48.43647,1655823811,1655824650,1655824578,1655824093,8.083333333,12.78333333,-4.7
85,85,59170147,DA,59170147,0.0421,447,303,287,447,-123.358965,48.435797,1655823688,1655824597,1655824521,1655824025,8.266666667,13.88333333,-5.616666667
86,86,59170148,DA,59170148,0.0567,401,242,231,401,-123.360437,48.435831,1655823599,1655824631,1655824544,1655823815,12.15,15.75,-3.6
87,87,59170149,DA,59170149,0.0841,671,225,218,671,-123.361729,48.437435,1655823805,1655824572,1655824505,1655824021,8.066666667,11.66666667,-3.6
88,88,59170150,DA,59170150,0.2251,753,309,245,753,-123.364617,48.438893,1655823827,1655824548,1655824477,1655823882,9.916666667,10.83333333,-0.916666667
89,89,59170151,DA,59170151,0.1057,585,331,314,585,-123.36155,48.440671,1655823573,1655824613,1655824558,1655823930,10.46666667,16.41666667,-5.95
90,90,59170152,DA,59170152,0.0527,534,250,231,534,-123.358689,48.440958,1655823944,1655824670,1655824596,1655824077,8.65,10.86666667,-2.216666667
91,91,59170153,DA,59170153,0.0657,740,436,424,740,-123.356403,48.438796,1655824028,1655824706,1655824632,1655824154,7.966666667,10.06666667,-2.1
92,92,59170154,DA,59170154,0.1353,560,262,247,560,-123.356338,48.442266,1655823872,1655824702,1655824629,1655824123,8.433333333,12.61666667,-4.183333333
93,93,59170155,DA,59170155,0.0974,649,359,341,649,-123.352915,48.438197,1655823921,1655824675,1655824612,1655824132,8,11.51666667,-3.516666667
94,94,59170156,DA,59170156,0.1436,609,314,300,609,-123.351449,48.442667,1655823965,1655824749,1655824712,1655824192,8.666666667,12.45,-3.783333333
95,95,59170157,DA,59170157,0.1059,480,217,209,480,-123.350538,48.436556,1655823684,1655824721,1655824650,1655824136,8.566666667,16.1,-7.533333333
96,96,59170161,DA,59170161,0.0401,631,437,419,631,-123.359216,48.429511,1655823342,1655824554,1655824479,1655823792,11.45,18.95,-7.5
97,97,59170162,DA,59170162,0.104,827,565,533,827,-123.355059,48.42841,1655823411,1655824513,1655824435,1655823799,10.6,17.06666667,-6.466666667
98,98,59170163,DA,59170163,0.0789,1071,877,678,1071,-123.357863,48.42571,1655823586,1655824454,1655824377,1655823644,12.21666667,13.18333333,-0.966666667
99,99,59170164,DA,59170164,0.0816,1404,1011,912,1404,-123.355074,48.425295,1655823695,1655824472,1655824389,1655823713,11.26666667,11.56666667,-0.3
100,100,59170165,DA,59170165,0.0594,527,347,336,527,-123.351726,48.424039,1655823849,1655824603,1655824540,1655823880,11,11.51666667,-0.516666667
101,101,59170166,DA,59170166,0.0766,593,461,355,593,-123.350966,48.425549,1655823569,1655824612,1655824535,1655823898,10.61666667,16.1,-5.483333333
102,102,59170167,DA,59170167,0.0458,493,280,273,493,-123.351701,48.428013,1655823447,1655824517,1655824442,1655823836,10.1,16.58333333,-6.483333333
103,103,59170168,DA,59170168,0.0446,479,293,286,479,-123.348698,48.427231,1655823560,1655824565,1655824490,1655823738,12.53333333,15.5,-2.966666667
104,104,59170169,DA,59170169,0.0606,508,262,246,508,-123.347638,48.427971,1655823536,1655824609,1655824535,1655823926,10.15,16.65,-6.5
105,105,59170170,DA,59170170,0.0969,523,324,311,523,-123.348965,48.425923,1655823666,1655824626,1655824550,1655823937,10.21666667,14.73333333,-4.516666667
106,106,59170171,DA,59170171,0.0562,760,505,481,760,-123.344016,48.425508,1655823853,1655824669,1655824595,1655824047,9.133333333,12.36666667,-3.233333333
107,107,59170172,DA,59170172,0.0489,589,379,363,589,-123.340699,48.425915,1655824056,1655824694,1655824619,1655824096,8.716666667,9.383333333,-0.666666667
108,108,59170174,DA,59170174,0.1129,520,264,246,520,-123.342582,48.428316,1655823709,1655824683,1655824608,1655823974,10.56666667,14.98333333,-4.416666667
109,109,59170175,DA,59170175,0.1413,530,266,251,530,-123.33886,48.430502,1655823846,1655824697,1655824616,1655824083,8.883333333,12.83333333,-3.95
110,110,59170177,DA,59170177,0.0396,539,381,365,539,-123.33277,48.427394,1655824208,1655824773,1655824717,1655824228,8.15,8.483333333,-0.333333333
111,111,59170178,DA,59170178,0.0429,590,392,378,590,-123.3304,48.42741,1655824089,1655824805,1655824742,1655824266,7.933333333,10.88333333,-2.95
112,112,59170179,DA,59170179,0.0904,624,391,364,624,-123.33222,48.429392,1655824236,1655824727,1655824660,1655824242,6.966666667,7.066666667,-0.1
113,113,59170180,DA,59170180,0.112,524,292,278,524,-123.327113,48.429195,1655823973,1655824829,1655824782,1655824311,7.85,13.48333333,-5.633333333
114,114,59170181,DA,59170181,0.1441,532,271,256,532,-123.324156,48.429062,1655824011,1655824833,1655824778,1655824326,7.533333333,12.78333333,-5.25
115,115,59170182,DA,59170182,0.0893,431,216,207,431,-123.320728,48.427609,1655823827,1655824830,1655824768,1655824291,7.95,15.68333333,-7.733333333
116,116,59170184,DA,59170184,0.123,606,320,305,606,-123.319136,48.433971,1655824051,1655824880,1655824846,1655824425,7.016666667,13.25,-6.233333333
117,117,59170185,DA,59170185,0.1544,659,305,296,659,-123.318353,48.436382,1655823994,1655824911,1655824869,1655824466,6.716666667,14.58333333,-7.866666667
118,118,59170186,DA,59170186,0.1209,416,176,171,416,-123.313332,48.437021,1655823812,1655824971,1655824949,1655824377,9.533333333,18.95,-9.416666667
119,119,59170187,DA,59170187,0.1243,507,257,241,507,-123.313938,48.434518,1655823776,1655824840,1655824818,1655824349,7.816666667,17.36666667,-9.55
120,120,59170189,DA,59170189,0.1306,350,139,131,350,-123.309758,48.433077,1655823568,1655824895,1655824854,1655824238,10.26666667,21.43333333,-11.16666667
121,121,59170190,DA,59170190,0.2498,614,266,254,614,-123.312065,48.428916,1655823497,1655824811,1655824781,1655824198,9.716666667,21.4,-11.68333333
122,122,59170191,DA,59170191,0.1955,345,156,153,345,-123.307305,48.430708,1655823390,1655824854,1655824819,1655824165,10.9,23.81666667,-12.91666667
123,123,59170192,DA,59170192,0.1199,615,402,378,615,-123.308689,48.424843,1655822889,1655824743,1655824701,1655824031,11.16666667,30.2,-19.03333333
124,124,59170193,DA,59170193,0.257,486,204,197,486,-123.309324,48.421883,1655822880,1655824711,1655824623,1655823977,10.76666667,29.05,-18.28333333
125,125,59170194,DA,59170194,0.1919,540,249,239,540,-123.315036,48.422789,1655823444,1655824709,1655824692,1655824058,10.56666667,20.8,-10.23333333
126,126,59170195,DA,59170195,0.139,543,337,320,543,-123.318267,48.424784,1655823828,1655824768,1655824703,1655824201,8.366666667,14.58333333,-6.216666667
127,127,59170196,DA,59170196,0.1806,528,290,281,528,-123.321121,48.42361,1655823929,1655824797,1655824732,1655824227,8.416666667,13.38333333,-4.966666667
128,128,59170197,DA,59170197,0.1737,581,251,238,581,-123.326337,48.422734,1655823569,1655824669,1655824603,1655824153,7.5,17.23333333,-9.733333333
129,129,59170198,DA,59170198,0.1367,698,373,360,698,-123.326615,48.425354,1655823725,1655824752,1655824696,1655824201,8.25,16.18333333,-7.933333333
130,130,59170199,DA,59170199,0.1592,567,324,307,567,-123.332498,48.424729,1655823968,1655824727,1655824665,1655824161,8.4,11.61666667,-3.216666667
131,131,59170200,DA,59170200,0.2779,638,266,255,638,-123.328202,48.41937,1655823641,1655824695,1655824613,1655824032,9.683333333,16.2,-6.516666667
132,132,59170201,DA,59170201,0.2416,510,241,232,510,-123.334627,48.419138,1655823351,1655824559,1655824502,1655824044,7.633333333,19.18333333,-11.55
