,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA21_1: Population, 2021",X,Y,Transit Time,Car Time,Bike Time
260,59170344,DA,59170344,0.2217,467,178,172,467,-123.397304,48.467764,46.916666666666664,15.083333333333334,36.28333333333333
261,59170345,DA,59170345,0.286,455,186,179,455,-123.405421,48.469712,59.63333333333333,16.216666666666665,36.25
262,59170346,DA,59170346,0.6195,455,201,198,455,-123.403761,48.476396,62.516666666666666,17.633333333333333,38.71666666666667
263,59170347,DA,59170347,0.2091,556,203,197,556,-123.394222,48.475406,52.983333333333334,14.5,30.6
264,59170348,DA,59170348,0.1793,575,220,215,575,-123.393601,48.472417,46.63333333333333,14.116666666666667,30.55
265,59170349,DA,59170349,0.4945,961,352,344,961,-123.386172,48.471993,???,14.15,29.083333333333332
266,59170350,DA,59170350,0.1226,445,161,160,445,-123.388193,48.476234,50.766666666666666,14.466666666666667,30.466666666666665
267,59170351,DA,59170351,0.2091,527,198,193,527,-123.391584,48.468329,41.18333333333333,13.233333333333333,28.05
268,59170352,DA,59170352,0.3454,907,380,358,907,-123.385067,48.46718,36.65,11.516666666666667,24.45
269,59170353,DA,59170353,0.1926,921,372,362,921,-123.389756,48.464244,42.18333333333333,15.033333333333333,31.283333333333335
270,59170354,DA,59170354,0.0948,317,136,132,317,-123.393817,48.466121,39.28333333333333,12.966666666666667,26.633333333333333
271,59170357,DA,59170357,0.167,518,221,208,518,-123.389412,48.456089,48.03333333333333,15.633333333333333,28.85
272,59170359,DA,59170359,0.1171,465,176,170,465,-123.387911,48.45289,41.8,17.45,29.4
273,59170360,DA,59170360,0.1626,571,235,225,571,-123.383554,48.451257,39.0,15.2,29.033333333333335
274,59170361,DA,59170361,0.1707,829,405,383,829,-123.392207,48.451721,42.4,17.1,30.816666666666666
275,59170362,DA,59170362,0.177,662,313,303,662,-123.389079,48.448153,42.45,16.95,31.466666666666665
276,59170363,DA,59170363,0.1802,748,359,346,748,-123.395852,48.449071,45.21666666666667,17.266666666666666,32.38333333333333
277,59170364,DA,59170364,0.1044,688,357,346,688,-123.391863,48.445857,50.7,18.1,33.1
278,59170365,DA,59170365,0.1066,499,314,306,499,-123.392939,48.44455,51.63333333333333,18.233333333333334,35.3
