a,q,t,dw,hh,id,pop,name,rgid,rpid,ruid,rguid,Transit Time,Car Time,Bike Time
0.1253,0,DA,121,113,59151166,357,59151166,5915,5915015,9330146,59933,91.98333333,29.03333333,77.13333333
0.1405,0,DA,295,286,59151167,865,59151167,5915,5915015,9330146,59933,93.73333333,30.05,77.78333333
0.0943,0,DA,137,130,59151168,453,59151168,5915,5915015,9330146,59933,91.11666667,30.1,76.66666667
1.6767,0,DA,801,777,59151169,1651,59151169,5915,5915015,9330146,59933,91.83333333,28.86666667,74.88333333
0.1046,0,DA,193,184,59151170,584,59151170,5915,5915015,9330146,59933,90.26666667,31.38333333,73.98333333
0.0805,0,DA,112,111,59151171,354,59151171,5915,5915015,9330146,59933,89.11666667,31.01666667,74.25
0.1235,0,DA,170,164,59151172,524,59151172,5915,5915015,9330146,59933,88.86666667,30.4,73.06666667
0.2451,0,DA,569,559,59151173,1385,59151173,5915,5915015,9330146,59933,90.28333333,29.83333333,73.5
0.155,0,DA,233,216,59151174,667,59151174,5915,5915015,9330144.06,59933,89.41666667,31.43333333,72.81666667
0.134,0,DA,198,189,59151175,549,59151175,5915,5915015,9330144.06,59933,90.6,31.41666667,72.61666667
0.0398,0,DA,86,85,59151176,221,59151176,5915,5915015,9330144.06,59933,92.63333333,32.33333333,72.13333333
0.1448,0,DA,201,195,59151177,641,59151177,5915,5915015,9330144.06,59933,98.68333333,30.18333333,70.98333333
0.2349,0,DA,199,195,59151178,593,59151178,5915,5915015,9330144.06,59933,91.25,30.01666667,71.06666667
0.8042,0,DA,226,219,59151179,685,59151179,5915,5915015,9330145.02,59933,102.4666667,30.18333333,70.2
0.0777,0,DA,165,165,59151180,517,59151180,5915,5915015,9330145.02,59933,93.38333333,28.83333333,65.33333333
1.9143,0,DA,203,187,59151182,649,59151182,5915,5915015,9330146,59933,86.13333333,26.2,66.26666667
0.5913,0,DA,329,327,59151195,1101,59151195,5915,5915015,9330151.03,59933,72.41666667,25.33333333,45.1
0.1386,0,DA,173,167,59151196,567,59151196,5915,5915015,9330151.03,59933,72.28333333,23.58333333,46.28333333
2.3516,0,DA,818,730,59151197,1918,59151197,5915,5915015,9330151.03,59933,89.38333333,30.56666667,61.26666667
0.5807,0,DA,244,234,59151198,522,59151198,5915,5915022,9330004.02,59933,65.85,22.2,43.33333333
0.0723,0,DA,146,137,59151199,443,59151199,5915,5915022,9330004.02,59933,63.45,21.03333333,43.8
0.0529,0,DA,173,156,59151200,528,59151200,5915,5915022,9330004.02,59933,64.18333333,21.41666667,43.51666667
0.0443,0,DA,140,133,59151201,430,59151201,5915,5915022,9330004.02,59933,64.2,21.03333333,43.45
