,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA21_1: Population, 2021",X,Y,Transit Time,Car Time,Bike Time
105,59170170,DA,59170170,0.0969,523,324,311,523,-123.348965,48.425923,15.916666666666666,5.05,5.9
106,59170171,DA,59170171,0.0562,760,505,481,760,-123.344016,48.425508,16.433333333333334,6.333333333333333,6.766666666666667
107,59170172,DA,59170172,0.0489,589,379,363,589,-123.340699,48.425915,15.633333333333333,5.933333333333334,8.266666666666667
108,59170174,DA,59170174,0.1129,520,264,246,520,-123.342582,48.428316,17.683333333333334,6.183333333333334,9.333333333333334
109,59170175,DA,59170175,0.1413,530,266,251,530,-123.33886,48.430502,20.45,6.916666666666667,10.383333333333333
110,59170177,DA,59170177,0.0396,539,381,365,539,-123.33277,48.427394,19.2,7.766666666666667,11.483333333333333
111,59170178,DA,59170178,0.0429,590,392,378,590,-123.3304,48.42741,18.716666666666665,7.983333333333333,12.766666666666667
112,59170179,DA,59170179,0.0904,624,391,364,624,-123.33222,48.429392,21.383333333333333,7.85,11.716666666666667
113,59170180,DA,59170180,0.112,524,292,278,524,-123.327113,48.429195,22.716666666666665,9.083333333333334,14.216666666666667
114,59170181,DA,59170181,0.1441,532,271,256,532,-123.324156,48.429062,23.016666666666666,9.516666666666667,14.333333333333334
115,59170182,DA,59170182,0.0893,431,216,207,431,-123.320728,48.427609,21.916666666666668,9.566666666666666,15.916666666666666
116,59170184,DA,59170184,0.123,606,320,305,606,-123.319136,48.433971,25.416666666666668,10.25,15.983333333333333
117,59170185,DA,59170185,0.1544,659,305,296,659,-123.318353,48.436382,27.433333333333334,11.083333333333334,16.933333333333334
118,59170186,DA,59170186,0.1209,416,176,171,416,-123.313332,48.437021,26.466666666666665,11.283333333333333,17.866666666666667
119,59170187,DA,59170187,0.1243,507,257,241,507,-123.313938,48.434518,26.716666666666665,11.116666666666667,17.133333333333333
120,59170189,DA,59170189,0.1306,350,139,131,350,-123.309758,48.433077,29.35,11.533333333333333,18.45
121,59170190,DA,59170190,0.2498,614,266,254,614,-123.312065,48.428916,27.066666666666666,11.383333333333333,18.416666666666668
122,59170191,DA,59170191,0.1955,345,156,153,345,-123.307305,48.430708,30.7,12.2,18.983333333333334
123,59170192,DA,59170192,0.1199,615,402,378,615,-123.308689,48.424843,22.85,11.15,18.916666666666668
124,59170193,DA,59170193,0.257,486,204,197,486,-123.309324,48.421883,23.0,11.916666666666666,18.033333333333335
125,59170194,DA,59170194,0.1919,540,249,239,540,-123.315036,48.422789,26.0,11.283333333333333,16.85
126,59170195,DA,59170195,0.139,543,337,320,543,-123.318267,48.424784,24.216666666666665,9.9,15.433333333333334
127,59170196,DA,59170196,0.1806,528,290,281,528,-123.321121,48.42361,21.933333333333334,9.566666666666666,15.0
128,59170197,DA,59170197,0.1737,581,251,238,581,-123.326337,48.422734,23.783333333333335,9.45,13.45
129,59170198,DA,59170198,0.1367,698,373,360,698,-123.326615,48.425354,19.85,8.566666666666666,13.15
130,59170199,DA,59170199,0.1592,567,324,307,567,-123.332498,48.424729,19.533333333333335,7.783333333333333,11.016666666666667
131,59170200,DA,59170200,0.2779,638,266,255,638,-123.328202,48.41937,23.316666666666666,9.45,12.383333333333333
132,59170201,DA,59170201,0.2416,510,241,232,510,-123.334627,48.419138,26.1,7.483333333333333,10.816666666666666
133,59170202,DA,59170202,0.1214,469,139,134,469,-123.334144,48.415597,21.133333333333333,8.35,11.616666666666667
134,59170203,DA,59170203,0.1879,672,301,291,672,-123.333091,48.412742,17.1,8.333333333333334,13.3
135,59170204,DA,59170204,0.3272,768,337,324,768,-123.327255,48.414666,19.05,9.35,14.0
136,59170205,DA,59170205,0.3014,518,212,209,518,-123.321253,48.412644,25.966666666666665,11.266666666666667,16.266666666666666
137,59170206,DA,59170206,0.2145,441,178,173,441,-123.320297,48.417918,24.916666666666668,10.8,15.616666666666667
138,59170207,DA,59170207,0.162,425,170,162,425,-123.315792,48.414654,30.366666666666667,11.216666666666667,17.65
139,59170208,DA,59170208,0.1842,499,200,194,499,-123.315002,48.418651,29.983333333333334,11.766666666666667,16.7
140,59170209,DA,59170209,0.184,485,198,195,485,-123.310998,48.416368,28.533333333333335,11.85,18.183333333333334
141,59170210,DA,59170210,0.183,517,216,209,517,-123.306453,48.418346,31.066666666666666,13.316666666666666,18.716666666666665
142,59170211,DA,59170211,0.8728,508,293,266,508,-123.301769,48.415231,36.483333333333334,13.316666666666666,20.416666666666668
