GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA21_1: Population, 2021",X,Y
59170072,DA,59170072,0.4229,830,307,288,830,-123.397472,48.552529
59170074,DA,59170074,1.4241,538,201,191,538,-123.385132,48.538821
59170075,DA,59170075,3.0369,563,264,252,563,-123.371573,48.538912
59170076,DA,59170076,0.9129,1483,650,624,1483,-123.377501,48.523664
59170077,DA,59170077,0.6082,779,299,288,779,-123.381907,48.522919
59170079,DA,59170079,0.4405,636,229,223,636,-123.377832,48.516475
59170081,DA,59170081,0.2718,526,236,219,526,-123.366407,48.517787
59170082,DA,59170082,0.3294,675,331,324,675,-123.369823,48.523219
59170084,DA,59170084,0.5198,672,273,259,672,-123.353686,48.506333
59170085,DA,59170085,0.2832,688,260,257,688,-123.358613,48.505147
59170094,DA,59170094,0.9114,746,397,389,746,-123.379129,48.492219
59170095,DA,59170095,0.3813,1312,709,679,1312,-123.390904,48.495617
59170096,DA,59170096,0.4549,968,434,423,968,-123.389859,48.489123
59170097,DA,59170097,0.2218,624,228,221,624,-123.395557,48.492634
59170098,DA,59170098,2.2321,459,170,166,459,-123.409709,48.502031
59170100,DA,59170100,0.2577,630,221,215,630,-123.399901,48.486001
59170101,DA,59170101,0.3993,970,351,340,970,-123.40305,48.481535
59170102,DA,59170102,0.3608,800,300,290,800,-123.395961,48.478797
59170103,DA,59170103,0.3787,871,307,301,871,-123.395715,48.485992
59170104,DA,59170104,0.2392,280,114,110,280,-123.389512,48.486164
59170105,DA,59170105,0.2379,625,228,220,625,-123.383647,48.483816
59170106,DA,59170106,0.2064,621,228,218,621,-123.381798,48.480204
59170111,DA,59170111,0.2146,450,164,158,450,-123.370731,48.478207
59170112,DA,59170112,0.151,445,178,166,445,-123.369493,48.475018
59170113,DA,59170113,0.1851,476,218,210,476,-123.365089,48.472467
59170114,DA,59170114,0.141,1163,675,646,1163,-123.368985,48.470746
59170115,DA,59170115,0.1814,655,344,321,655,-123.365643,48.468319
59170116,DA,59170116,0.2352,464,219,210,464,-123.36389,48.464715
59170117,DA,59170117,0.1121,400,224,216,400,-123.363114,48.461964
59170118,DA,59170118,0.1917,573,244,227,573,-123.360274,48.458944
59170119,DA,59170119,0.1609,521,225,215,521,-123.36641,48.458455
59170120,DA,59170120,0.1102,533,245,234,533,-123.367232,48.455277
59170121,DA,59170121,0.1355,528,232,220,528,-123.362544,48.455639
59170122,DA,59170122,0.0894,1091,655,633,1091,-123.362122,48.453407
59170123,DA,59170123,0.1066,499,307,301,499,-123.360078,48.451262
59170124,DA,59170124,0.0531,685,447,432,685,-123.362457,48.450407
59170125,DA,59170125,0.115,820,454,440,820,-123.365692,48.450286
59170126,DA,59170126,0.142,583,247,239,583,-123.361969,48.447695
59170127,DA,59170127,0.5252,673,331,309,673,-123.362337,48.444912
59170128,DA,59170128,0.2309,552,249,238,552,-123.354123,48.446155
59170129,DA,59170129,0.1498,534,257,243,534,-123.353836,48.448468
59170130,DA,59170130,0.1691,778,358,340,778,-123.34706,48.447154
59170131,DA,59170131,0.1605,650,282,274,650,-123.343185,48.446459
59170132,DA,59170132,0.1058,517,271,243,517,-123.347581,48.442504
59170133,DA,59170133,0.087,703,295,278,703,-123.344368,48.442426
59170134,DA,59170134,0.1186,662,284,271,662,-123.349596,48.43971
59170135,DA,59170135,0.1473,500,215,209,500,-123.342272,48.439048
59170136,DA,59170136,0.1132,517,239,229,517,-123.346767,48.43668
59170137,DA,59170137,0.1183,493,217,202,493,-123.34292,48.436014
59170138,DA,59170138,0.1188,476,200,181,476,-123.339382,48.436585
59170139,DA,59170139,0.0989,553,233,228,553,-123.341048,48.432858
59170140,DA,59170140,0.0964,541,248,233,541,-123.343846,48.431582
59170141,DA,59170141,0.0757,615,332,317,615,-123.346778,48.433297
59170142,DA,59170142,0.1145,583,322,305,583,-123.350238,48.433214
59170143,DA,59170143,0.1778,463,234,209,463,-123.349891,48.430011
59170144,DA,59170144,0.1527,670,387,368,670,-123.354748,48.4319
59170145,DA,59170145,0.0657,417,236,214,417,-123.3553,48.434434
59170146,DA,59170146,0.0977,652,358,340,652,-123.356286,48.43647
59170147,DA,59170147,0.0421,447,303,287,447,-123.358965,48.435797
59170148,DA,59170148,0.0567,401,242,231,401,-123.360437,48.435831
59170149,DA,59170149,0.0841,671,225,218,671,-123.361729,48.437435
59170150,DA,59170150,0.2251,753,309,245,753,-123.364617,48.438893
59170151,DA,59170151,0.1057,585,331,314,585,-123.36155,48.440671
59170152,DA,59170152,0.0527,534,250,231,534,-123.358689,48.440958
59170153,DA,59170153,0.0657,740,436,424,740,-123.356403,48.438796
59170154,DA,59170154,0.1353,560,262,247,560,-123.356338,48.442266
59170155,DA,59170155,0.0974,649,359,341,649,-123.352915,48.438197
59170156,DA,59170156,0.1436,609,314,300,609,-123.351449,48.442667
59170157,DA,59170157,0.1059,480,217,209,480,-123.350538,48.436556
59170161,DA,59170161,0.0401,631,437,419,631,-123.359216,48.429511
59170162,DA,59170162,0.104,827,565,533,827,-123.355059,48.42841
59170163,DA,59170163,0.0789,1071,877,678,1071,-123.357863,48.42571
59170164,DA,59170164,0.0816,1404,1011,912,1404,-123.355074,48.425295
59170165,DA,59170165,0.0594,527,347,336,527,-123.351726,48.424039
59170166,DA,59170166,0.0766,593,461,355,593,-123.350966,48.425549
59170167,DA,59170167,0.0458,493,280,273,493,-123.351701,48.428013
59170168,DA,59170168,0.0446,479,293,286,479,-123.348698,48.427231
59170169,DA,59170169,0.0606,508,262,246,508,-123.347638,48.427971
59170170,DA,59170170,0.0969,523,324,311,523,-123.348965,48.425923
59170171,DA,59170171,0.0562,760,505,481,760,-123.344016,48.425508
59170172,DA,59170172,0.0489,589,379,363,589,-123.340699,48.425915
